id,catalog_number,cad
1249587,4/5VX1400,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX1400.dxf
176753,4/5VX1320,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX1320.dxf
1249586,4/5VX1250,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX1250.dxf
1249585,4/5VX1180,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX1180.dxf
1249584,4/5VX1120,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX1120.dxf
1249583,4/5VX1060,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX1060.dxf
1249582,4/5VX1000,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX1000.dxf
1249601,4/5VX950,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX950.dxf
1249600,4/5VX900,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX900.dxf
1249598,4/5VX800,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX800.dxf
176743,4/5VX750,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX750.dxf
176742,4/5VX710,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX710.dxf
1249597,4/5VX670,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX670.dxf
176740,4/5VX630,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX630.dxf
1249596,4/5VX600,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX600.dxf
1249595,4/5VX560,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX560.dxf
1249594,4/5VX530,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX530.dxf
1249593,4/5VX500,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX500.dxf
1249551,3/5VX2000,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX2000.dxf
1249550,3/5VX1900,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX1900.dxf
1249549,3/5VX1800,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX1800.dxf
1249548,3/5VX1700,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX1700.dxf
176731,3/5VX1600,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX1600.dxf
1249547,3/5VX1500,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX1500.dxf
1249546,3/5VX1400,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX1400.dxf
1249545,3/5VX1320,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX1320.dxf
176727,3/5VX1250,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX1250.dxf
1249544,3/5VX1180,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX1180.dxf
1249543,3/5VX1120,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX1120.dxf
1249542,3/5VX1060,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX1060.dxf
